,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9832,0.7664,0.9514
1,sylva_prior,20,0.9761,0.6422,0.955
2,sylva_prior,40,0.9594,0.3691,0.9294
3,sylva_prior,60,0.9432,0.079,0.9667
4,fri_c4_1000_100,10,0.583,0.8263,0.5944
5,fri_c4_1000_100,20,0.564,0.8174,0.5804
6,fri_c4_1000_100,40,0.572,0.9237,0.5752
7,fri_c4_1000_100,60,0.566,0.9858,0.5662
