,Dataset,Missing Rate,KNN,MICE,PMIVAE,SAEI,MEAN,LPR0,LPR1,LPR2,LPR3
0,Sylva_prior,10,0.0419 ± 0.0039,0.0392 ± 0.0054,0.0669 ± 0.0057,0.0841 ± 0.0142,0.0801 ± 0.006,0.0692 ± 0.0055,0.0734 ± 0.0053,0.0768 ± 0.0056,0.0775 ± 0.0103
1,Sylva_prior,20,0.0463 ± 0.0064,0.0598 ± 0.0121,0.0562 ± 0.0084,0.064 ± 0.0133,0.0779 ± 0.009,0.07 ± 0.0106,0.0764 ± 0.0095,0.077 ± 0.0058,0.073 ± 0.009
2,Sylva_prior,40,0.0525 ± 0.0043,0.0638 ± 0.004,0.0603 ± 0.0041,0.0687 ± 0.0127,0.0758 ± 0.0114,0.0723 ± 0.01,0.0768 ± 0.0127,0.0737 ± 0.0082,0.0812 ± 0.0061
3,Sylva_prior,60,0.0501 ± 0.0072,0.1049 ± 0.0603,0.0542 ± 0.0108,0.0674 ± 0.0113,0.0825 ± 0.0117,0.0775 ± 0.0019,0.0746 ± 0.0099,0.0775 ± 0.0083,0.0725 ± 0.0087
