,Dataset,Missing Rate,KNN,MICE,PMIVAE,SAEI,MEAN,LPR0,LPR1,LPR2,LPR3
0,sylva_prior,10,0.0532 ± 0.0007,0.0499 ± 0.0005,0.0582 ± 0.0011,0.0728 ± 0.0069,0.0877 ± 0.0003,0.0801 ± 0.0004,0.0798 ± 0.0007,0.0799 ± 0.0008,0.0797 ± 0.0006
1,sylva_prior,20,0.0674 ± 0.0014,0.0591 ± 0.0009,0.0612 ± 0.0004,0.0675 ± 0.0054,0.087 ± 0.0004,0.0797 ± 0.0004,0.0799 ± 0.0007,0.0799 ± 0.0003,0.0798 ± 0.0005
2,sylva_prior,40,0.0874 ± 0.0006,0.0732 ± 0.001,0.0748 ± 0.0005,0.0627 ± 0.0095,0.0898 ± 0.0004,0.0834 ± 0.0003,0.0837 ± 0.0004,0.0837 ± 0.0005,0.0836 ± 0.0005
3,sylva_prior,60,0.1119 ± 0.0002,0.0866 ± 0.0015,0.0745 ± 0.0006,0.0595 ± 0.0066,0.0947 ± 0.0004,0.0935 ± 0.0006,0.0937 ± 0.0005,0.0935 ± 0.0006,0.0945 ± 0.0003
4,fri_c4_1000_100,10,0.5352 ± 0.3566,0.5902 ± 0.341,0.5792 ± 0.3912,0.6572 ± 0.3231,0.5847 ± 0.3326,0.5684 ± 0.3334,0.5916 ± 0.4557,0.5479 ± 0.3731,0.6186 ± 0.3753
5,fri_c4_1000_100,20,0.3837 ± 0.1723,0.3819 ± 0.1841,0.3556 ± 0.1791,0.3855 ± 0.2139,0.4119 ± 0.1485,0.3603 ± 0.1919,0.4017 ± 0.1648,0.3676 ± 0.1808,0.4209 ± 0.1725
6,fri_c4_1000_100,40,0.3354 ± 0.0803,0.5781 ± 0.1523,0.3099 ± 0.1133,0.2957 ± 0.0843,0.2953 ± 0.106,0.3135 ± 0.0947,0.3201 ± 0.1134,0.2908 ± 0.1201,0.3288 ± 0.0948
7,fri_c4_1000_100,60,0.2936 ± 0.0578,0.5699 ± 0.1221,0.2742 ± 0.0788,0.2296 ± 0.0636,0.2974 ± 0.0948,0.2687 ± 0.0767,0.2727 ± 0.0838,0.3183 ± 0.0696,0.3013 ± 0.0692
