,Dataset,Missing Rate,KNN,MICE,PMIVAE,SAEI,MEAN,LPR0,LPR1,LPR2,LPR3
0,sylva_prior,10,0.0743 ± 0.0026,0.0825 ± 0.0018,0.0599 ± 0.0017,0.0738 ± 0.0042,0.0803 ± 0.0011,0.0788 ± 0.002,0.0783 ± 0.0014,0.0795 ± 0.0022,0.0779 ± 0.0027
1,sylva_prior,20,0.0734 ± 0.0029,0.0804 ± 0.0016,0.061 ± 0.0005,0.0774 ± 0.0041,0.08 ± 0.0004,0.0796 ± 0.0014,0.0791 ± 0.0011,0.0799 ± 0.0008,0.0785 ± 0.0011
2,sylva_prior,40,0.074 ± 0.0023,0.079 ± 0.001,0.0611 ± 0.0004,0.0762 ± 0.0025,0.0802 ± 0.0004,0.0788 ± 0.0009,0.0795 ± 0.0008,0.0792 ± 0.0012,0.0798 ± 0.0012
3,sylva_prior,60,0.0745 ± 0.0016,0.0779 ± 0.0011,0.0615 ± 0.0003,0.0771 ± 0.0083,0.0807 ± 0.0003,0.0796 ± 0.0009,0.0791 ± 0.0006,0.0789 ± 0.0008,0.0785 ± 0.0011
4,fri_c4_1000_100,10,0.1479 ± 0.0355,0.2 ± 0.1287,0.1783 ± 0.0893,0.1517 ± 0.0735,0.2292 ± 0.1798,0.3024 ± 0.1455,0.1451 ± 0.0661,0.5223 ± 0.5538,0.1751 ± 0.0631
5,fri_c4_1000_100,20,0.2738 ± 0.1969,0.1843 ± 0.0875,0.225 ± 0.0613,0.2282 ± 0.0845,0.2178 ± 0.0757,0.2598 ± 0.0779,0.1714 ± 0.074,0.1893 ± 0.0831,0.1864 ± 0.0455
6,fri_c4_1000_100,40,0.2419 ± 0.08,0.1753 ± 0.0631,0.1921 ± 0.064,0.2434 ± 0.0897,0.2493 ± 0.0452,0.2231 ± 0.1009,0.2431 ± 0.068,0.2287 ± 0.0989,0.1893 ± 0.0432
7,fri_c4_1000_100,60,0.2648 ± 0.1073,0.2366 ± 0.0587,0.2399 ± 0.0583,0.3064 ± 0.0697,0.2089 ± 0.047,0.2022 ± 0.0445,0.2099 ± 0.0353,0.2367 ± 0.0456,0.2556 ± 0.048
