,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9842,0.7732,0.9628
1,sylva_prior,20,0.9817,0.7382,0.955
2,sylva_prior,40,0.9751,0.6355,0.9411
3,sylva_prior,60,0.9691,0.5553,0.9073
4,fri_c4_1000_100,10,0.801,0.8989,0.7815
5,fri_c4_1000_100,20,0.791,0.8918,0.773
6,fri_c4_1000_100,40,0.736,0.8386,0.7355
7,fri_c4_1000_100,60,0.655,0.757,0.6745
