,Model,Dataset,Missing Rate (%),Métrica,Teste
117,mean,mammographic_masses,60,MAE,0.2965901804608871
118,mean,mammographic_masses,60,MAE,0.30153420562990285
119,mean,mammographic_masses,60,MAE,0.3043876237595043
120,mean,hcv_egyptian,10,MAE,0.40946256496204814
121,mean,hcv_egyptian,10,MAE,0.3920903809565939
122,mean,hcv_egyptian,10,MAE,0.3898154689395
123,mean,hcv_egyptian,10,MAE,0.391914040494734
124,mean,hcv_egyptian,10,MAE,0.3910191206650003
125,mean,hcv_egyptian,20,MAE,0.40486049305641775
126,mean,hcv_egyptian,20,MAE,0.3972009713708687
127,mean,hcv_egyptian,20,MAE,0.39542995901247
128,mean,hcv_egyptian,20,MAE,0.39926545472814917
129,mean,hcv_egyptian,20,MAE,0.3967266405676866
130,mean,hcv_egyptian,40,MAE,0.41291966891293075
131,mean,hcv_egyptian,40,MAE,0.40750903502604363
132,mean,hcv_egyptian,40,MAE,0.40420150468210775
133,mean,hcv_egyptian,40,MAE,0.4061730847044429
134,mean,hcv_egyptian,40,MAE,0.4082815360538645
135,mean,hcv_egyptian,60,MAE,0.4268568127716657
136,mean,hcv_egyptian,60,MAE,0.41294935047507664
137,mean,hcv_egyptian,60,MAE,0.4155446789262481
138,mean,hcv_egyptian,60,MAE,0.416858263341955
139,mean,hcv_egyptian,60,MAE,0.421894366296482
140,mean,thoracic_surgey,10,MAE,0.17176116021846483
141,mean,thoracic_surgey,10,MAE,0.17472830857334673
142,mean,thoracic_surgey,10,MAE,0.16960852726558037
143,mean,thoracic_surgey,10,MAE,0.17353388301658348
144,mean,thoracic_surgey,10,MAE,0.1800778960539309
145,mean,thoracic_surgey,20,MAE,0.1724864136653196
146,mean,thoracic_surgey,20,MAE,0.17541025430497156
147,mean,thoracic_surgey,20,MAE,0.18997746717660477
148,mean,thoracic_surgey,20,MAE,0.16995358065118313
149,mean,thoracic_surgey,20,MAE,0.17328534909642607
150,mean,thoracic_surgey,40,MAE,0.18407217842745027
151,mean,thoracic_surgey,40,MAE,0.18242945499029697
152,mean,thoracic_surgey,40,MAE,0.16787989496626762
153,mean,thoracic_surgey,40,MAE,0.17902941333521694
154,mean,thoracic_surgey,40,MAE,0.1874090724404177
155,mean,thoracic_surgey,60,MAE,0.18571647455268184
156,mean,thoracic_surgey,60,MAE,0.17167048093128906
157,mean,thoracic_surgey,60,MAE,0.16809712404036256
158,mean,thoracic_surgey,60,MAE,0.16488541351879313
159,mean,thoracic_surgey,60,MAE,0.19892708402202536
160,knn,wiscosin,10,MAE,0.08641908978431521
161,knn,wiscosin,10,MAE,0.07197175512357522
162,knn,wiscosin,10,MAE,0.07864617850104211
163,knn,wiscosin,10,MAE,0.06289112983689811
164,knn,wiscosin,10,MAE,0.08022912841522101
165,knn,wiscosin,20,MAE,0.0867493787098397
166,knn,wiscosin,20,MAE,0.07897389065946243
167,knn,wiscosin,20,MAE,0.08112829339321977
168,knn,wiscosin,20,MAE,0.06669385844192004
169,knn,wiscosin,20,MAE,0.08239985446946894
170,knn,wiscosin,40,MAE,0.09491636332593038
171,knn,wiscosin,40,MAE,0.09567136200308377
172,knn,wiscosin,40,MAE,0.09424654446735978
173,knn,wiscosin,40,MAE,0.08137611966507265
174,knn,wiscosin,40,MAE,0.09684912225675309
175,knn,wiscosin,60,MAE,0.11306430664868593
176,knn,wiscosin,60,MAE,0.10591038310265811
177,knn,wiscosin,60,MAE,0.11186657010996685
178,knn,wiscosin,60,MAE,0.09588570088648435
