Model,Dataset,Missing Rate (%),Métrica,Teste
saei,sylva_prior,10,MAE,0.121155061744127
saei,sylva_prior,10,MAE,0.115674859680041
saei,sylva_prior,10,MAE,0.113559833845882
saei,sylva_prior,10,MAE,0.116907089577579
saei,sylva_prior,20,MAE,0.100423399730894
saei,sylva_prior,20,MAE,0.143808951241381
saei,sylva_prior,20,MAE,0.099461258002019
saei,sylva_prior,20,MAE,0.0989682123226659
saei,sylva_prior,20,MAE,0.106518055168393
saei,sylva_prior,40,MAE,0.10934940424731
saei,sylva_prior,40,MAE,0.118633267113267
saei,sylva_prior,40,MAE,0.102732704835628
saei,sylva_prior,40,MAE,0.119066631728163
saei,sylva_prior,40,MAE,0.0962908396197168
saei,sylva_prior,60,MAE,0.114427468758338
saei,sylva_prior,60,MAE,0.126956993055954
saei,sylva_prior,60,MAE,0.0917075466989637
saei,sylva_prior,60,MAE,0.0907831724175645
saei,sylva_prior,60,MAE,0.0880994326643748
saei,fri_c4_1000_100,10,MAE,1.05795548280576
saei,fri_c4_1000_100,10,MAE,0.850988575030863
saei,fri_c4_1000_100,10,MAE,1.38666024043813
saei,fri_c4_1000_100,10,MAE,0.456854742193515
saei,fri_c4_1000_100,10,MAE,0.335786055557996
saei,fri_c4_1000_100,20,MAE,0.591773710769436
saei,fri_c4_1000_100,20,MAE,0.482583149466485
saei,fri_c4_1000_100,20,MAE,0.76442963117522
saei,fri_c4_1000_100,20,MAE,0.293101230853954
saei,fri_c4_1000_100,20,MAE,0.250466296183968
saei,fri_c4_1000_100,40,MAE,0.359451402865212
saei,fri_c4_1000_100,40,MAE,0.295475740590028
saei,fri_c4_1000_100,40,MAE,0.441638372436061
saei,fri_c4_1000_100,40,MAE,0.219364100704979
saei,fri_c4_1000_100,40,MAE,0.192727951652599
saei,fri_c4_1000_100,60,MAE,0.283477451542026
saei,fri_c4_1000_100,60,MAE,0.2370756704733
saei,fri_c4_1000_100,60,MAE,0.334379204371129
saei,fri_c4_1000_100,60,MAE,0.186497434265811
saei,fri_c4_1000_100,60,MAE,0.172218451784485
pmivae,sylva_prior,10,MAE,0.0796867102196872
pmivae,sylva_prior,10,MAE,0.104116444846574
pmivae,sylva_prior,10,MAE,0.081051092517527
pmivae,sylva_prior,10,MAE,0.093826258414903
pmivae,sylva_prior,10,MAE,0.0748268979861512
pmivae,sylva_prior,20,MAE,0.08047255592428
pmivae,sylva_prior,20,MAE,0.0964182176571681
pmivae,sylva_prior,20,MAE,0.082826416348708
pmivae,sylva_prior,20,MAE,0.0824489937490656
pmivae,sylva_prior,20,MAE,0.0733273254447804
pmivae,sylva_prior,40,MAE,0.0875097588689346
pmivae,sylva_prior,40,MAE,0.102067846766556
pmivae,sylva_prior,40,MAE,0.0772108103163135
pmivae,sylva_prior,40,MAE,0.0890758479496308
pmivae,sylva_prior,40,MAE,0.0771120113167173
pmivae,sylva_prior,60,MAE,0.0855563838817466
