,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9455,0.1185,0.9705
1,sylva_prior,20,0.9387,0.0045,0.6
2,sylva_prior,40,0.9385,0.0,0.0
3,sylva_prior,60,0.9396,0.0214,0.71
4,fri_c4_1000_100,10,0.789,0.9113,0.7628
5,fri_c4_1000_100,20,0.734,0.8882,0.7149
6,fri_c4_1000_100,40,0.605,0.858,0.6102
7,fri_c4_1000_100,60,0.583,0.7926,0.6024
