mean,knn,mice,pmivae,saei,lpr2
0.4067277100420863,0.4004572678464111,0.40448672817587483,0.40421567327268937,0.4064668852277833,0.40685625829148186
0.6151104526820584,0.6128977196019223,0.6168905260076656,0.6128520058207132,0.613433793002675,0.6151709537295904
0.07696338802967784,0.07282026883035231,0.06856994490708979,0.07581675519474129,0.07776212759540746,0.07542512142165814
1.0091116085574936,0.9998165114651143,1.0039247428355522,1.004532690133151,1.0075676258400235,1.005227205835185
1.1335308967541724,1.1267408898569224,1.1264818291122907,1.1304255363951545,1.128636312475542,1.1269979083376234
0.872866707630044,0.8645346459142561,0.8605875213364136,0.8698479184445682,0.8726486572641023,0.8726721894148152
0.9897230983831753,0.9855034854201373,0.9921090761230521,0.9873251290798346,0.9818392185670533,0.9897350192516128
0.7070337346154583,0.7022201896935426,0.6941157436075237,0.7026132363216726,0.6999927368583181,0.705046589771065
1.1719212007543423,1.1662393651962035,1.1372022569875235,1.167071152960304,1.171321137179584,1.1689059635558285
1.2188835686539239,1.212394508281096,1.21400832094938,1.2153414829036946,1.2139560718495699,1.2099872213384495
1.10681213100479,1.0993456689546244,1.1016662397314498,1.1038061736332585,1.1049709651683266,1.1063474630224408
1.1767763493871504,1.1724288582215638,1.1724586533150425,1.1738618594538472,1.16894662744351,1.1766584824947197
1.028133859093463,1.0201310088499946,0.9964985358504344,1.0228878065318339,1.022783995597477,1.0253400357271554
1.2553157318029937,1.2469627518963402,1.2101219713692257,1.2490326050951521,1.2450582673285593,1.2521874305142513
1.2778419392327458,1.270160300639912,1.247111705559211,1.2726712609085662,1.2716944163809396,1.2687215557781921
1.184786710126887,1.1772670831155554,0.7748256660572127,1.1825546103066622,1.1809449164915118,1.1843737192572394
1.2364394202202122,1.2324725825490084,1.0576593939587031,1.2340798507616049,1.2273466975602385,1.235433333917269
1.1321832637861107,1.1241268846040238,0.6976091672887662,1.12737916366268,1.1300431636624089,1.1293453197200507
1.2832627318534342,1.275999177089449,0.6495047318463804,1.2784101416707945,1.277924933767727,1.279957444760176
1.2983158593394093,1.2893439093322439,0.6274738908925714,1.292360829005469,1.2922039162490533,1.2874087539825325
1.3450135892054482,1.3864770888778855,1.370344766940106,1.384735657813851,1.359536442688079,1.3654426560446011
1.3301463398037634,1.3677689942730884,1.3518137052447199,1.3603059231869647,1.3432673062894112,1.3387606602220818
1.3526757132877671,1.3774622815852469,1.3764066181565981,1.3833712755160112,1.3487475083534977,1.3532918681083186
1.3425613995423846,1.3767001251261457,1.381488069645105,1.3705961096186352,1.3508625341876561,1.3497788628425382
1.3591470374172603,1.3958524231264484,1.3204456931535662,1.3895954700473871,1.3475152784559592,1.3644138392955512
1.3463762126477947,1.3847904224811962,1.3651300084482116,1.3839498121092582,1.3639989683026446,1.3588603867777391
1.3377490255287918,1.3597907982679167,1.3463366389947586,1.36800415037637,1.320613416792157,1.3448865039403273
1.3560608286220732,1.3749573315447463,1.3775528490316726,1.3815959516848304,1.364961110031519,1.3620865203798145
1.3589131163951247,1.3796757301545164,1.37707988630414,1.3819733742844726,1.3654541557108724,1.3558825774869911
1.362975102624703,1.3880908119108042,1.3847069264776422,1.3910950425887578,1.3579043128651456,1.360857095056441
1.3609893302299407,1.3783615774662537,1.3686468597336048,1.3769126091646036,1.355072963786228,1.3709954207800341
1.3436984065644504,1.3584196549049055,1.3466576928994296,1.3623545212669823,1.3457891009202707,1.346530188909511
1.3642561890223759,1.3885949727281002,1.3685916078801075,1.3872115577172248,1.3616896631979105,1.365357498125486
1.3578871861756503,1.383888635764556,1.3758352518089567,1.3753465200839075,1.345355736305375,1.3613074201122564
1.3613163824178651,1.3884589737010034,1.3773007307786072,1.387310356716821,1.3681315284138214,1.3656118097850622
1.3584181085375535,1.3840136609416924,0.8185106798811359,1.3788659841517916,1.3499948992752007,1.3634731943478828
1.3427058596865171,1.3626491068599353,1.1061156397310365,1.36264894482221,1.3374653749775844,1.3447603376410526
1.3661868699612987,1.3861862939404652,1.2410812386303087,1.3900291000171967,1.3727148213345746,1.3673945912437837
1.3592510085135774,1.3896289477307915,1.3081438566568782,1.3774419510793225,1.373639195615974,1.3615874597882873
1.361775585437199,1.3850695973486156,1.0207610833143936,1.3784860212869208,1.3763229353691635,1.3570054736285018
