,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9784,0.6727,0.9665
1,sylva_prior,20,0.9741,0.5994,0.9686
2,sylva_prior,40,0.9582,0.3341,0.9626
3,sylva_prior,60,0.9462,0.1298,0.9655
4,fri_c4_1000_100,10,0.782,0.8527,0.7815
5,fri_c4_1000_100,20,0.748,0.9167,0.7166
6,fri_c4_1000_100,40,0.648,0.794,0.661
7,fri_c4_1000_100,60,0.568,0.83,0.5903
