Model,Dataset,Missing Rate (%),Métrica,Teste,Mecanismo
mice,sylva_prior,10,MAE,0.0440537828303306,MAR-MEDIAN
mice,sylva_prior,20,MAE,0.0514941574349476,MAR-MEDIAN
mice,sylva_prior,20,MAE,0.389153260045967,MAR-MEDIAN
mice,sylva_prior,20,MAE,0.37742945123335,MAR-MEDIAN
mice,sylva_prior,20,MAE,0.0505999476006272,MAR-MEDIAN
mice,sylva_prior,20,MAE,0.0601996216977774,MAR-MEDIAN
mice,sylva_prior,40,MAE,0.066230822994122,MAR-MEDIAN
mice,sylva_prior,40,MAE,0.0625095991267243,MAR-MEDIAN
mice,sylva_prior,40,MAE,0.0693590631519192,MAR-MEDIAN
mice,sylva_prior,40,MAE,0.0601777148310521,MAR-MEDIAN
mice,sylva_prior,40,MAE,0.0611180628341805,MAR-MEDIAN
mice,sylva_prior,60,MAE,0.074309104684797,MAR-MEDIAN
mice,sylva_prior,60,MAE,0.0829028830370513,MAR-MEDIAN
mice,sylva_prior,60,MAE,0.075966957651782,MAR-MEDIAN
mice,sylva_prior,60,MAE,0.0893316024541302,MAR-MEDIAN
mice,sylva_prior,60,MAE,0.0729899212277683,MAR-MEDIAN
mice,fri_c4_1000_100,10,MAE,0.565002277472312,MAR-MEDIAN
mice,fri_c4_1000_100,10,MAE,0.587467741176196,MAR-MEDIAN
mice,fri_c4_1000_100,10,MAE,1.26000290013376,MAR-MEDIAN
mice,fri_c4_1000_100,10,MAE,0.33873999425816,MAR-MEDIAN
mice,fri_c4_1000_100,10,MAE,0.136915990600605,MAR-MEDIAN
mice,fri_c4_1000_100,20,MAE,0.144598525557028,MAR-MEDIAN
mice,fri_c4_1000_100,20,MAE,0.124459563048475,MAR-MEDIAN
mice,fri_c4_1000_100,20,MAE,0.455660047646944,MAR-MEDIAN
mice,fri_c4_1000_100,20,MAE,0.261211435374861,MAR-MEDIAN
mice,fri_c4_1000_100,20,MAE,0.268836567315789,MAR-MEDIAN
mice,fri_c4_1000_100,40,MAE,0.261302472583083,MAR-MEDIAN
mice,fri_c4_1000_100,40,MAE,0.679384391516671,MAR-MEDIAN
