,Dataset,Missing Rate,KNN,MICE,PMIVAE,SAEI,MEAN,LPR0,LPR1,LPR2,LPR3
0,Sylva_prior,10.0,0.0419,0.0392,0.0669,0.0841,0.0801,0.0692,0.0734,0.0768,0.0775
1,Sylva_prior,20.0,0.0463,0.0598,0.0562,0.064,0.0779,0.07,0.0764,0.077,0.073
2,Sylva_prior,40.0,0.0525,0.0638,0.0603,0.0687,0.0758,0.0723,0.0768,0.0737,0.0812
3,Sylva_prior,60.0,0.0501,0.1049,0.0542,0.0674,0.0825,0.0775,0.0746,0.0775,0.0725
