Missing Rate,KNN,MICE,PMIVAE,SAEI,MEAN,LPR0,LPR1,LPR2,LPR3
10.0,0.45275,0.46235000000000004,0.4528,0.46599999999999997,0.46730000000000005,0.46485,0.4648,0.4643,0.46465
20.0,0.2826,0.28955,0.27954999999999997,0.29314999999999997,0.29215,0.28959999999999997,0.28969999999999996,0.29155,0.28964999999999996
40.0,0.19374999999999998,0.20795000000000002,0.1933,0.20545000000000002,0.2011,0.1989,0.20035,0.20054999999999998,0.19979999999999998
60.0,0.16375,0.53425,0.1642,0.17255,0.1721,0.17075,0.17170000000000002,0.17335,0.17055
