,Dataset,Missing Rate,KNN,MICE,PMIVAE,SAEI,MEAN,LPR0,LPR1,LPR2,LPR3
0,sylva_prior,10,0.0836 ± 0.0107,0.1043 ± 0.0248,0.0867 ± 0.012,0.1144 ± 0.006,0.1185 ± 0.011,0.1132 ± 0.011,0.1131 ± 0.0103,0.1101 ± 0.0111,0.1128 ± 0.0114
1,sylva_prior,20,0.087 ± 0.0111,0.0943 ± 0.0151,0.0831 ± 0.0084,0.1098 ± 0.0192,0.112 ± 0.0102,0.1062 ± 0.0103,0.1064 ± 0.0106,0.1079 ± 0.0069,0.1063 ± 0.0108
2,sylva_prior,40,0.0849 ± 0.0125,0.097 ± 0.0123,0.0866 ± 0.0103,0.1092 ± 0.0099,0.1068 ± 0.0081,0.1018 ± 0.0094,0.1047 ± 0.0084,0.1025 ± 0.0093,0.1036 ± 0.0091
3,sylva_prior,60,0.0829 ± 0.0108,0.3655 ± 0.1929,0.0869 ± 0.0098,0.1024 ± 0.0173,0.1068 ± 0.0089,0.1034 ± 0.0078,0.1053 ± 0.008,0.1056 ± 0.0087,0.103 ± 0.0084
4,fri_c4_1000_100,10,0.8219 ± 0.4319,0.8204 ± 0.4335,0.8189 ± 0.4324,0.8176 ± 0.4316,0.8161 ± 0.4335,0.8165 ± 0.4333,0.8165 ± 0.4333,0.8185 ± 0.4313,0.8165 ± 0.4333
5,fri_c4_1000_100,20,0.4782 ± 0.2116,0.4848 ± 0.2095,0.476 ± 0.2116,0.4765 ± 0.2127,0.4723 ± 0.2117,0.473 ± 0.2114,0.473 ± 0.2114,0.4752 ± 0.2094,0.473 ± 0.2114
6,fri_c4_1000_100,40,0.3026 ± 0.1038,0.3189 ± 0.0992,0.3 ± 0.1033,0.3017 ± 0.102,0.2954 ± 0.1038,0.296 ± 0.1036,0.296 ± 0.1036,0.2986 ± 0.1018,0.296 ± 0.1036
7,fri_c4_1000_100,60,0.2446 ± 0.0691,0.703 ± 0.175,0.2415 ± 0.0685,0.2427 ± 0.0675,0.2374 ± 0.0691,0.2381 ± 0.069,0.2381 ± 0.069,0.2411 ± 0.0667,0.2381 ± 0.069
