,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mean,sylva_prior,10,0.0803,0.0011
1,mean,sylva_prior,20,0.08,0.0004
2,mean,sylva_prior,40,0.0802,0.0004
3,mean,sylva_prior,60,0.0807,0.0003
4,mean,fri_c4_1000_100,10,0.2292,0.1798
5,mean,fri_c4_1000_100,20,0.2178,0.0757
6,mean,fri_c4_1000_100,40,0.2493,0.0452
7,mean,fri_c4_1000_100,60,0.2089,0.047
