,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr0,sylva_prior,10,0.0788,0.002
1,lpr0,sylva_prior,20,0.0796,0.0014
2,lpr0,sylva_prior,40,0.0788,0.0009
3,lpr0,sylva_prior,60,0.0796,0.0009
4,lpr0,fri_c4_1000_100,10,0.3024,0.1455
5,lpr0,fri_c4_1000_100,20,0.2598,0.0779
6,lpr0,fri_c4_1000_100,40,0.2231,0.1009
7,lpr0,fri_c4_1000_100,60,0.2022,0.0445
