,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9803,0.7044,0.967
1,sylva_prior,20,0.9744,0.5972,0.9798
2,sylva_prior,40,0.9611,0.3747,0.9831
3,sylva_prior,60,0.9487,0.176,0.9459
4,fri_c4_1000_100,10,0.786,0.8883,0.7694
5,fri_c4_1000_100,20,0.755,0.8582,0.7457
6,fri_c4_1000_100,40,0.712,0.9309,0.6796
7,fri_c4_1000_100,60,0.656,0.9271,0.6377
