,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9459,0.1298,0.9399
1,sylva_prior,20,0.9387,0.0034,0.4
2,sylva_prior,40,0.9385,0.0,0.0
3,sylva_prior,60,0.9385,0.0,0.0
4,fri_c4_1000_100,10,0.794,0.8794,0.7825
5,fri_c4_1000_100,20,0.712,0.8829,0.6924
6,fri_c4_1000_100,40,0.625,0.8866,0.6171
7,fri_c4_1000_100,60,0.589,0.8742,0.5952
