Model,Dataset,Missing Rate (%),Métrica,Teste
mice,fri_c4_1000_100,60,MAE,0.318480114299069
saei,sylva_prior,10,MAE,0.0720492975755574
saei,sylva_prior,10,MAE,0.0784843724764111
saei,sylva_prior,10,MAE,0.07068650961273
saei,sylva_prior,10,MAE,0.0697301406469989
saei,sylva_prior,10,MAE,0.0782792794321429
saei,sylva_prior,20,MAE,0.0807985308049537
saei,sylva_prior,20,MAE,0.0778855608072052
saei,sylva_prior,20,MAE,0.0788931121024444
saei,sylva_prior,20,MAE,0.0792872944573504
saei,sylva_prior,20,MAE,0.0703472873618259
saei,sylva_prior,40,MAE,0.0775667371255925
saei,sylva_prior,40,MAE,0.0778133706392718
saei,sylva_prior,40,MAE,0.0719315539992002
saei,sylva_prior,40,MAE,0.0774810755225499
saei,sylva_prior,40,MAE,0.076052715543364
saei,sylva_prior,60,MAE,0.0711985274659969
saei,sylva_prior,60,MAE,0.076314454099456
saei,sylva_prior,60,MAE,0.0751689679145238
saei,sylva_prior,60,MAE,0.0712685415015085
saei,sylva_prior,60,MAE,0.091385703275404
saei,fri_c4_1000_100,10,MAE,0.120547993533401
saei,fri_c4_1000_100,10,MAE,0.10733084496099
saei,fri_c4_1000_100,10,MAE,0.126437521771647
saei,fri_c4_1000_100,10,MAE,0.121586316640921
saei,fri_c4_1000_100,10,MAE,0.282459987019559
saei,fri_c4_1000_100,20,MAE,0.228323448685296
saei,fri_c4_1000_100,20,MAE,0.12789248378135
saei,fri_c4_1000_100,20,MAE,0.326001424744559
saei,fri_c4_1000_100,20,MAE,0.162572448538906
saei,fri_c4_1000_100,20,MAE,0.296086228312366
saei,fri_c4_1000_100,40,MAE,0.213177072585528
saei,fri_c4_1000_100,40,MAE,0.113639531847084
saei,fri_c4_1000_100,40,MAE,0.356876062880182
saei,fri_c4_1000_100,40,MAE,0.281600312601785
saei,fri_c4_1000_100,40,MAE,0.251565773202093
saei,fri_c4_1000_100,60,MAE,0.275104137121261
saei,fri_c4_1000_100,60,MAE,0.218132217355819
saei,fri_c4_1000_100,60,MAE,0.315371871302896
saei,fri_c4_1000_100,60,MAE,0.314658364627074
saei,fri_c4_1000_100,60,MAE,0.408914442602393
pmivae,sylva_prior,10,MAE,0.0601384669831311
pmivae,sylva_prior,10,MAE,0.0570355250864369
pmivae,sylva_prior,10,MAE,0.0614458249146381
pmivae,sylva_prior,10,MAE,0.0602160933710198
pmivae,sylva_prior,10,MAE,0.0606289261736937
pmivae,sylva_prior,20,MAE,0.0616797495599639
pmivae,sylva_prior,20,MAE,0.0602829716772563
pmivae,sylva_prior,20,MAE,0.0608633650006683
pmivae,sylva_prior,20,MAE,0.060829730681238
pmivae,sylva_prior,20,MAE,0.061324081265571
pmivae,sylva_prior,40,MAE,0.0616457979634433
pmivae,sylva_prior,40,MAE,0.0608937127358135
pmivae,sylva_prior,40,MAE,0.0604463703748036
pmivae,sylva_prior,40,MAE,0.0611618342773383
pmivae,sylva_prior,40,MAE,0.0611773439443084
pmivae,sylva_prior,60,MAE,0.0617640143284712
pmivae,sylva_prior,60,MAE,0.0610156002844734
