,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,knn,sylva_prior,10,0.0412,0.0045
1,knn,sylva_prior,20,0.0456,0.0054
2,knn,sylva_prior,40,0.0485,0.0034
3,knn,sylva_prior,60,0.0508,0.0026
4,knn,fri_c4_1000_100,10,0.5718,0.1534
5,knn,fri_c4_1000_100,20,0.1835,0.0946
6,knn,fri_c4_1000_100,40,0.1404,0.0586
7,knn,fri_c4_1000_100,60,0.1878,0.0878
