,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9859,0.798,0.9684
1,sylva_prior,20,0.9857,0.7913,0.9719
2,sylva_prior,40,0.9837,0.7687,0.9583
3,sylva_prior,60,0.9823,0.7427,0.962
4,fri_c4_1000_100,10,0.801,0.9096,0.7763
5,fri_c4_1000_100,20,0.767,0.8742,0.7544
6,fri_c4_1000_100,40,0.747,0.8688,0.7346
7,fri_c4_1000_100,60,0.729,0.9113,0.7036
