,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9751,0.6118,0.9748
1,sylva_prior,20,0.9638,0.4267,0.9684
2,sylva_prior,40,0.9489,0.1737,0.9772
3,sylva_prior,60,0.9392,0.0124,0.8
4,fri_c4_1000_100,10,0.813,0.8758,0.81
5,fri_c4_1000_100,20,0.72,0.7855,0.7397
6,fri_c4_1000_100,40,0.572,0.7482,0.5975
7,fri_c4_1000_100,60,0.619,0.8226,0.6301
