,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9802,0.7021,0.9681
1,sylva_prior,20,0.9729,0.5756,0.974
2,sylva_prior,40,0.9587,0.3375,0.9778
3,sylva_prior,60,0.9464,0.2834,0.8079
4,fri_c4_1000_100,10,0.788,0.8581,0.7875
5,fri_c4_1000_100,20,0.746,0.8972,0.7224
6,fri_c4_1000_100,40,0.654,0.9114,0.6382
7,fri_c4_1000_100,60,0.53,0.5219,0.6009
