,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9853,0.7958,0.96
1,sylva_prior,20,0.9853,0.7856,0.97
2,sylva_prior,40,0.9845,0.7878,0.9532
3,sylva_prior,60,0.9824,0.7619,0.9411
4,fri_c4_1000_100,10,0.805,0.9149,0.7787
5,fri_c4_1000_100,20,0.761,0.8759,0.7453
6,fri_c4_1000_100,40,0.718,0.8883,0.6979
7,fri_c4_1000_100,60,0.722,0.796,0.7459
