,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9803,0.7032,0.9677
1,sylva_prior,20,0.9762,0.6332,0.9708
2,sylva_prior,40,0.9652,0.4492,0.9651
3,sylva_prior,60,0.9619,0.4027,0.9472
4,fri_c4_1000_100,10,0.789,0.8917,0.7712
5,fri_c4_1000_100,20,0.764,0.8936,0.7421
6,fri_c4_1000_100,40,0.678,0.8848,0.6615
7,fri_c4_1000_100,60,0.587,0.8051,0.6007
