,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.979,0.6841,0.9661
1,sylva_prior,20,0.9737,0.5882,0.9749
2,sylva_prior,40,0.958,0.3274,0.9713
3,sylva_prior,60,0.944,0.0959,0.9383
4,fri_c4_1000_100,10,0.778,0.8473,0.7823
5,fri_c4_1000_100,20,0.738,0.8547,0.731
6,fri_c4_1000_100,40,0.678,0.9397,0.6482
7,fri_c4_1000_100,60,0.553,0.8424,0.5654
