Missing Rate,KNN,MICE,PMIVAE,SAEI,MEAN,LPR0,LPR1,LPR2,LPR3
10.0,0.1111,0.14125000000000001,0.1191,0.11275,0.15475,0.1906,0.1117,0.3009,0.1265
20.0,0.1736,0.13235,0.14300000000000002,0.1528,0.1489,0.1697,0.12525,0.1346,0.13245
40.0,0.15795,0.12715,0.1266,0.1598,0.16475,0.15095,0.1613,0.15395,0.13455
60.0,0.16965,0.15725,0.1507,0.19175,0.14479999999999998,0.1409,0.14450000000000002,0.1578,0.16705
