,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mean,sylva_prior,10,0.1185,0.011
1,mean,sylva_prior,20,0.112,0.0102
2,mean,sylva_prior,40,0.1068,0.0081
3,mean,sylva_prior,60,0.1068,0.0089
4,mean,fri_c4_1000_100,10,0.8161,0.4335
5,mean,fri_c4_1000_100,20,0.4723,0.2117
6,mean,fri_c4_1000_100,40,0.2954,0.1038
7,mean,fri_c4_1000_100,60,0.2374,0.0691
