mean,knn,mice,pmivae,saei,lpr2
1.3279992686577822,1.3824197317411633,1.3659300441984703,1.2779139765244172,1.3778939381879023,1.3686056902913402
1.2924911538305723,1.3915283931315203,1.3392244503861792,1.2636415521384223,1.2864196371385272,1.3586804420188912
1.2355327540667793,1.2618201540017313,1.1997808318516212,1.2403026204418093,1.1844631552767402,1.2223169085294512
1.4047786934449862,1.426689099612048,1.4297256745977531,1.3611550701594013,1.4229723765992297,1.3845991141458591
1.2916160340843963,1.3105288912112711,1.2909565391960474,1.2679406437331122,1.3297124003175922,1.2695932315903362
1.4048662641275542,1.3873597434521663,1.3992596553871122,1.2626846915008192,1.3455242415799762,1.3373176909559643
1.3754344481431442,1.3636125598063242,1.3781667648297373,1.3431457983658033,1.2877872651470643,1.2952917115137563
1.2436341805267943,1.2689951647997813,1.3654533791930623,1.2796691726478402,1.4019257412402162,1.3896055208698384
1.3679910058182982,1.4264209042856912,1.4466364681464774,1.3497272214555562,1.4234857583225482,1.3992436702623463
1.3280857369946093,1.3219036808219893,1.4060996307979843,1.3689621028721923,1.2456878026864702,1.3774099309571222
1.3613452994076913,1.3734779128739891,1.3847888640184363,1.2910730443395912,1.3414819906734732,1.4492086047438102
1.3819737109479342,1.3580168931970522,1.2738301552459952,1.2829978943530713,1.3590754419318303,1.3493338951615392
1.2878213517468273,1.3185761308327382,1.3142494057694831,1.3304260811329733,1.2304922307416821,1.3405218948196953
1.3715598875330433,1.3817469768069883,1.3598660290464972,1.4127869452604493,1.3750425201350112,1.3900110081116033
1.4044111841237783,1.3167807887430532,1.3593803389050922,1.3393649483861763,1.3138487229770373,1.3575001034634822
1.3127787955813452,1.3157375734176782,1.3468393046735812,1.2438726362744783,1.3068518162340683,1.3751096172912782
1.3015916466735953,1.3393110267127943,1.3179925790207452,1.2419760511269033,1.2968329859137193,1.3127527417160563
1.3261489355916802,1.3144144603605332,1.3185596963157682,1.2801229316475433,1.3644792099479723,1.3125672487176183
1.3255752953131803,1.3581831773217223,1.3580313786294202,1.2765619918106543,1.3795831723430882,1.3462729935352153
1.3324434611397074,1.3529335405337863,1.3660843211231593,1.3095689421735883,1.3659539607751792,1.3622513412948292
1.3133455025284473,1.3508802413957193,1.3589794283519363,1.2525325638690221,1.3200511552868601,1.3673330360164653
1.2607815659936463,1.3332596523401612,1.3111695465405322,1.2421061435867533,1.2492878281490662,1.3299752110605392
1.2265844367770933,1.2075740101058112,1.1902107038856282,1.2385939726578392,1.2194800047758532,1.2515677297864634
1.3675818670416153,1.3809545956734501,1.417814291763159,1.3309141194269143,1.3230822733319152,1.3965241572919642
1.2519839201827592,1.2444947331055662,1.2688207333554533,1.2415956035609883,1.2571731854941393,1.2359070813645823
1.3065735459684573,1.3215648186188502,1.3500354921179403,1.3194250598397013,1.3927380950922383,1.42722966372201
1.3723015139131434,1.2829926085334182,1.3280027521451512,1.3084792516713672,1.1358293154700831,1.3153459349350713
1.2644162383668702,1.2792935036875992,1.3669550130228323,1.2826924308688992,1.3238164843353342,1.3541008666483243
1.3607794448288892,1.3475536247614903,1.4322990426408155,1.3624573679980843,1.3848418195426542,1.3469423120496922
1.4000650934096341,1.3675486811605513,1.4078543570386461,1.2961095486231122,1.2807849985415491,1.3052658860439392
1.3599799962375492,1.3222251796660893,1.3516358724347513,1.3071316647666293,1.3569799104780083,1.3105801462510223
1.3535358644817062,1.3604691481586262,1.2939410989401952,1.2632709301856253,1.3804255882638972,1.3145912960474153
1.2241941910821013,1.2453511505928023,1.2839018035937133,1.3300346900495372,1.1363472183938552,1.2965132385894074
1.3974665927902643,1.3740462404481733,1.3636639756386433,1.4012724931970233,1.4019853306297003,1.4142327822431215
1.3726070523306952,1.3402323661467022,1.3623770969105213,1.3700710620263523,1.3790824831625492,1.3268952910381722
1.2973435477804331,1.2905465320059732,1.3385084835905923,1.2491210477083632,1.4038479545694131,1.3558454039501942
1.2886426963761632,1.3207413965712622,1.3533486637591123,1.2471693626680203,1.3503450060623992,1.3277347022430812
1.2960618703714133,1.3208694625540183,1.3489222295412933,1.3245604263446082,1.3529511884847063,1.2429917359364673
1.3209065995755873,1.3696763316763962,1.3268725415471052,1.3181660394300732,1.3199409143751462,1.3668220191114533
1.3307345286459693,1.3495175197803233,1.3512960467845372,1.3078683203523813,1.4000989312416463,1.3157150634299353
1.2955571166391542,1.3356242535405272,1.3492519115340793,1.2638328943058683,1.3535560253957724,1.3427871462031062
1.2614772628858282,1.3335549864802783,1.2790307447818612,1.2416814024982772,1.2972914199065952,1.3078664350376663
1.2414568029914932,1.2356621371234282,1.1681167264415622,1.2478036191451922,1.2282705228487143,1.2675758680021163
1.3855756666941512,1.3960573173522273,1.4203944969484923,1.3749794229223153,1.3398616559165102,1.3892922687255234
1.2850836997389112,1.2780013271591621,1.2945554253458502,1.2728034967316701,1.2561130967240672,1.2862171482343643
1.3025307324832882,1.3475915837932821,1.3462958905395932,1.3864450145959872,1.3747264662386602,1.3958101376575942
