,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9689,0.5081,0.9792
1,sylva_prior,20,0.961,0.3794,0.966
2,sylva_prior,40,0.9498,0.1931,0.9619
3,sylva_prior,60,0.9409,0.0418,0.5871
4,fri_c4_1000_100,10,0.809,0.8759,0.8049
5,fri_c4_1000_100,20,0.72,0.8174,0.7242
6,fri_c4_1000_100,40,0.612,0.752,0.633
7,fri_c4_1000_100,60,0.55,0.553,0.6257
