,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9827,0.7427,0.9697
1,sylva_prior,20,0.9778,0.6625,0.9677
2,sylva_prior,40,0.9699,0.5293,0.9657
3,sylva_prior,60,0.9613,0.3938,0.9512
4,fri_c4_1000_100,10,0.814,0.8936,0.8013
5,fri_c4_1000_100,20,0.794,0.8581,0.7951
6,fri_c4_1000_100,40,0.72,0.7198,0.7736
7,fri_c4_1000_100,60,0.662,0.7269,0.6946
