mean,knn,mice,pmivae,saei,lpr2
1.0168515497181838,1.4161506849153498,1.4428789950421081,1.4401435932283624,1.431294605173767,1.214754217223797
1.4424039537365763,1.340756361145824,1.4439335481937683,1.3954886454411333,1.4445117537461774,1.4409197427843394
1.4363086071127469,1.4236359703104617,1.4128851235098783,1.430098703233631,1.4254050769355204,1.2765990398393936
1.3042311581737651,1.4235357228256214,1.140489204800807,1.3821934597946728,1.430256282066247,1.1584322722864937
1.4134671431166046,1.4158025070556164,1.3189334279110039,1.2196755916791462,1.2693826116876092,0.05703552508643672
1.2405711242235251,1.3383012788131492,1.4394335044381361,1.2913733800636875,1.3235191500218721,1.3467562506848325
1.4464506083817164,1.2979369528263254,1.442351039318598,1.3379570693412126,1.4239501149258174,1.438424250680804
1.306914940227258,0.9366918309465379,1.3683970464664528,1.4276479777679916,1.2258411739626085,1.227757857891688
1.3577977568628594,1.394173674031029,1.226850528196959,1.2716449541054407,1.3892701501682618,1.382436226468823
1.318274407557956,1.4229707367211406,1.360639789710093,1.3054445475674497,1.255756370394802,1.4175544966630698
1.3536907907884559,1.3820166714143485,1.422850322435397,1.3981815776884796,1.3386655261216398,1.3751064714385213
1.3303163726074394,1.32904434714576,1.4278343742991702,1.440964201912759,1.438203066860084,1.3879680292217338
1.233672904030517,1.1912863758425192,1.2719742944240697,1.3011070939097273,1.1949665358269854,1.1529794552129262
1.2977307844585817,1.2708831779186436,1.3696402908454344,1.3677498736523512,1.2702422861053826,1.3804286647163186
1.2974572241525055,1.3766746251549897,1.3903719149588072,1.290558738558212,1.3002768255050752,1.3192558505060774
1.3647625181773493,1.3985910186091717,1.3579248202558465,1.3907870197047474,1.2767384615859063,1.3687009910075332
1.4147834689916219,1.3899911860060128,1.3817970083152176,1.3484342128038431,1.333710381351349,1.3485845314507512
1.3196216375121537,1.144504654624343,1.2864862769040586,1.2541180240123753,1.236470727404272,1.2572072386075064
1.2982285701626555,1.2441739178437456,1.3167937186609553,1.306554206114808,1.2371842340800936,1.317022123587415
1.3173039600883791,1.2577114116902597,1.233362484408099,1.2600554645280284,1.1429281561047753,1.2841830822820344
1.4705022174435516,1.4756295512371826,1.4667277534674892,1.4917041317240367,1.4797933011316105,1.4691454623771558
1.4725075771244445,1.4813465601945641,1.4699538359238573,1.494807073620731,1.4733582262307567,1.4740304820227401
1.4729587893339788,1.4791270493288795,1.4703342845505725,1.4903967737925297,1.481156089094438,1.4730270759476611
1.4712751967599131,1.476017573942733,1.4711609859656143,1.491626505336148,1.482112458060169,1.4709738511216337
1.4707112570398935,1.4756628703392447,1.4682929206976152,1.4912136725334741,1.473563319275025,1.4743338001608468
1.47110243869433,1.4789564011498875,1.4712730413673507,1.4901628491472039,1.471044067902214,1.4725435454194402
1.4719440079963864,1.4793611339384154,1.4741336280579862,1.4915596270299114,1.4739570378999627,1.472376734539984
1.4719312453285618,1.4824327401728055,1.4712601993102599,1.4909792337064995,1.4729494866047235,1.471152130840355
1.4719826982074324,1.4767816623866241,1.4703162708487005,1.4910128680259298,1.4725553042498174,1.4726942861779255
1.4721904742794674,1.474725187130771,1.470077737855242,1.4905185174415967,1.481495311345342,1.471070028747691
1.4709749347291659,1.4745410159884011,1.4733664981257601,1.4901968007437245,1.4742758615815752,1.4724574018726673
1.471638935354395,1.4792941470529086,1.4712729582057422,1.4909488859713542,1.474029228067896,1.4743879569684415
1.4718934825801326,1.4777379557951609,1.4728202912816877,1.4913962283323643,1.4799110447079675,1.4711675636420092
1.4720324344741575,1.4806475050675043,1.4727976123446782,1.4906807644298294,1.4743615231846179,1.4720935033949307
1.471901201085156,1.4770432779976606,1.473973408701119,1.4906652547628594,1.4757898831638039,1.4728600902740272
1.471390915520136,1.4763295738857876,1.4722578798957207,1.4900785843786968,1.480644071241171,1.4717325014751927
1.4714432108279367,1.476602127902214,1.47397557039496,1.4908269984226943,1.475528144607712,1.4737889710419605
1.4709806185490553,1.4794227641400226,1.4750540978804874,1.4905791334167666,1.476673630792644,1.4732061683864786
1.470717308006341,1.4786388664374464,1.4734444668574493,1.4901486509915398,1.4805740572056594,1.4728808025429942
1.4712963766000884,1.4755891510755357,1.4749205579096019,1.490123965394309,1.4604568954317638,1.4731299827335653
