Missing Rate,KNN,MICE,PMIVAE,SAEI,MEAN,LPR0,LPR1,LPR2
10.0,0.1564875,0.1742875,0.1639625,0.18125,0.17575,0.16625,0.1635625,0.1678375
20.0,0.15986250000000002,0.1630625,0.164725,0.1757375,0.175975,0.1706,0.16442500000000002,0.16655
40.0,0.1607625,0.165575,0.165725,0.17595,0.1760125,0.16695,0.16849999999999998,0.166125
60.0,0.169425,0.16848749999999998,0.16192499999999999,0.1774125,0.1799625,0.17045,0.176025,0.1681625
