,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9776,0.657,0.9699
1,sylva_prior,20,0.9684,0.5045,0.9688
2,sylva_prior,40,0.9514,0.2177,0.9732
3,sylva_prior,60,0.9403,0.0305,0.96
4,fri_c4_1000_100,10,0.814,0.9168,0.7889
5,fri_c4_1000_100,20,0.714,0.9291,0.6863
6,fri_c4_1000_100,40,0.645,0.8511,0.6455
7,fri_c4_1000_100,60,0.57,0.899,0.5762
