,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9385,0.0023,0.1333
1,sylva_prior,20,0.9385,0.0,0.0
2,sylva_prior,40,0.9385,0.0,0.0
3,sylva_prior,60,0.9385,0.0,0.0
4,fri_c4_1000_100,10,0.57,0.9681,0.5701
5,fri_c4_1000_100,20,0.57,0.9681,0.5701
6,fri_c4_1000_100,40,0.57,0.9805,0.5691
7,fri_c4_1000_100,60,0.57,0.9681,0.5701
