,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9752,0.613,0.9768
1,sylva_prior,20,0.964,0.4312,0.9668
2,sylva_prior,40,0.946,0.1299,0.9399
3,sylva_prior,60,0.9397,0.0226,0.9333
4,fri_c4_1000_100,10,0.793,0.8617,0.7906
5,fri_c4_1000_100,20,0.735,0.8563,0.7327
6,fri_c4_1000_100,40,0.607,0.7767,0.6244
7,fri_c4_1000_100,60,0.573,0.8168,0.5885
