,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9857,0.7902,0.9733
1,sylva_prior,20,0.976,0.6321,0.9673
2,sylva_prior,40,0.9615,0.3928,0.9586
3,sylva_prior,60,0.9471,0.1433,0.9779
4,fri_c4_1000_100,10,0.79,0.8847,0.7752
5,fri_c4_1000_100,20,0.774,0.8617,0.7674
6,fri_c4_1000_100,40,0.738,0.8316,0.7383
7,fri_c4_1000_100,60,0.668,0.7944,0.6749
