,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9749,0.6039,0.9819
1,sylva_prior,20,0.9696,0.5181,0.9796
2,sylva_prior,40,0.9596,0.3465,0.99
3,sylva_prior,60,0.9557,0.2833,0.9879
4,fri_c4_1000_100,10,0.81,0.8741,0.8058
5,fri_c4_1000_100,20,0.799,0.8635,0.7978
6,fri_c4_1000_100,40,0.789,0.8369,0.8017
7,fri_c4_1000_100,60,0.729,0.7836,0.75
