,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9455,0.1219,0.9568
1,sylva_prior,20,0.9388,0.0056,0.8
2,sylva_prior,40,0.9385,0.0,0.0
3,sylva_prior,60,0.9385,0.0,0.0
4,fri_c4_1000_100,10,0.801,0.8828,0.79
5,fri_c4_1000_100,20,0.724,0.8936,0.7034
6,fri_c4_1000_100,40,0.6,0.8371,0.6135
7,fri_c4_1000_100,60,0.594,0.9062,0.5965
