,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9779,0.6614,0.9714
1,sylva_prior,20,0.9651,0.4438,0.9752
2,sylva_prior,40,0.9452,0.1129,0.9684
3,sylva_prior,60,0.9397,0.0203,1.0
4,fri_c4_1000_100,10,0.79,0.8954,0.7739
5,fri_c4_1000_100,20,0.744,0.8635,0.737
6,fri_c4_1000_100,40,0.62,0.7876,0.6394
7,fri_c4_1000_100,60,0.565,0.5583,0.6297
