,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9384,0.0,0.0
1,sylva_prior,20,0.9385,0.0,0.0
2,sylva_prior,40,0.9385,0.0,0.0
3,sylva_prior,60,0.9385,0.0,0.0
4,fri_c4_1000_100,10,0.554,0.7926,0.576
5,fri_c4_1000_100,20,0.533,0.7501,0.5642
6,fri_c4_1000_100,40,0.51,0.741,0.5485
7,fri_c4_1000_100,60,0.537,0.7553,0.5675
