,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9818,0.728,0.9691
1,sylva_prior,20,0.9782,0.6706,0.9651
2,sylva_prior,40,0.9689,0.5068,0.9774
3,sylva_prior,60,0.9614,0.3904,0.9619
4,fri_c4_1000_100,10,0.811,0.8953,0.7954
5,fri_c4_1000_100,20,0.775,0.8633,0.7685
6,fri_c4_1000_100,40,0.704,0.9113,0.6805
7,fri_c4_1000_100,60,0.696,0.8667,0.6871
