,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9691,0.5102,0.9791
1,sylva_prior,20,0.9603,0.3703,0.9629
2,sylva_prior,40,0.9438,0.0904,0.5914
3,sylva_prior,60,0.9403,0.0339,0.1818
4,fri_c4_1000_100,10,0.815,0.8776,0.8131
5,fri_c4_1000_100,20,0.722,0.8174,0.7271
6,fri_c4_1000_100,40,0.613,0.7785,0.6251
7,fri_c4_1000_100,60,0.542,0.5405,0.6191
