,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9805,0.7032,0.9721
1,sylva_prior,20,0.9751,0.6106,0.9767
2,sylva_prior,40,0.9662,0.4616,0.9765
3,sylva_prior,60,0.956,0.2922,0.9745
4,fri_c4_1000_100,10,0.815,0.8776,0.8112
5,fri_c4_1000_100,20,0.803,0.8511,0.8122
6,fri_c4_1000_100,40,0.708,0.6595,0.7989
7,fri_c4_1000_100,60,0.573,0.4341,0.7302
