Missing Rate,KNN,MICE,PMIVAE,SAEI,MEAN,LPR0,LPR1,LPR2,LPR3
10.0,0.168175,0.1574125,0.2187625,0.1918875,0.21907500000000002,0.19619999999999999,0.194025,0.19692500000000002,0.19496249999999998
20.0,0.179975,0.16570000000000001,0.21713749999999998,0.183325,0.2182625,0.1949,0.1944125,0.197325,0.194225
40.0,0.1998625,0.19393749999999998,0.21739999999999998,0.1689,0.21995,0.1991125,0.20045,0.2000625,0.194775
60.0,0.2091625,0.210875,0.22526249999999998,0.160375,0.2245625,0.2034,0.204125,0.2054875,0.2018875
