,dataset,missing_rate,accuracy,recall,precision
0,sylva_prior,10,0.9844,0.7811,0.9593
1,sylva_prior,20,0.9805,0.7066,0.97
2,sylva_prior,40,0.9705,0.5419,0.9637
3,sylva_prior,60,0.9661,0.4842,0.935
4,fri_c4_1000_100,10,0.801,0.8759,0.7931
5,fri_c4_1000_100,20,0.798,0.8793,0.7883
6,fri_c4_1000_100,40,0.72,0.8298,0.7175
7,fri_c4_1000_100,60,0.702,0.8315,0.7008
