,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,saei,sylva_prior,10,0.0824,0.0093
1,saei,sylva_prior,20,0.0719,0.0125
2,saei,sylva_prior,40,0.0675,0.0069
3,saei,sylva_prior,60,0.0759,0.0056
4,saei,fri_c4_1000_100,10,0.175,0.1291
5,saei,fri_c4_1000_100,20,0.2205,0.0979
6,saei,fri_c4_1000_100,40,0.1433,0.0308
7,saei,fri_c4_1000_100,60,0.1929,0.0675
