,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr2,sylva_prior,10,0.0746,0.0136
1,lpr2,sylva_prior,20,0.0782,0.013
2,lpr2,sylva_prior,40,0.072,0.0059
3,lpr2,sylva_prior,60,0.0735,0.0106
4,lpr2,fri_c4_1000_100,10,0.2634,0.203
5,lpr2,fri_c4_1000_100,20,0.2849,0.1962
6,lpr2,fri_c4_1000_100,40,0.2022,0.0541
7,lpr2,fri_c4_1000_100,60,0.2156,0.0617
