,Dataset,Missing Rate,KNN,MICE,PMIVAE,SAEI,MEAN,LPR0,LPR1,LPR2,LPR3
0,Sylva_prior,10,"0,0741","0,082","0,0608","0,0747","0,0804","0,0794","0,0803","0,0793","0,0798"
1,Sylva_prior,20,"0,0752","0,0804","0,0611","0,0797","0,0801","0,0789","0,0778","0,0776","0,0788"
2,Sylva_prior,40,"0,0746","0,079","0,0609","0,0768","0,0801","0,0801","0,0787","0,0789","0,0793"
3,Sylva_prior,60,"0,073","0,0771","0,0612","0,0768","0,0802","0,0785","0,0795","0,0793","0,0787"
