,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr0,sylva_prior,10,0.1132,0.011
1,lpr0,sylva_prior,20,0.1062,0.0103
2,lpr0,sylva_prior,40,0.1018,0.0094
3,lpr0,sylva_prior,60,0.1034,0.0078
4,lpr0,fri_c4_1000_100,10,0.8165,0.4333
5,lpr0,fri_c4_1000_100,20,0.473,0.2114
6,lpr0,fri_c4_1000_100,40,0.296,0.1036
7,lpr0,fri_c4_1000_100,60,0.2381,0.069
