,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,knn,sylva_prior,10,0.0836,0.0107
1,knn,sylva_prior,20,0.087,0.0111
2,knn,sylva_prior,40,0.0849,0.0125
3,knn,sylva_prior,60,0.0829,0.0108
4,knn,fri_c4_1000_100,10,0.8219,0.4319
5,knn,fri_c4_1000_100,20,0.4782,0.2116
6,knn,fri_c4_1000_100,40,0.3026,0.1038
7,knn,fri_c4_1000_100,60,0.2446,0.0691
