Model,Dataset,Missing Rate (%),Métrica,Teste
saei,sylva_prior,10,MAE,0.0819990390837001
saei,sylva_prior,10,MAE,0.0724225986150672
saei,sylva_prior,10,MAE,0.0743291149857241
saei,sylva_prior,10,MAE,0.0898362988236735
saei,sylva_prior,10,MAE,0.0935204612515551
saei,sylva_prior,20,MAE,0.088970531358523
saei,sylva_prior,20,MAE,0.0773010290323073
saei,sylva_prior,20,MAE,0.0556268258532198
saei,sylva_prior,20,MAE,0.0725109324202809
saei,sylva_prior,20,MAE,0.0653073007211228
saei,sylva_prior,40,MAE,0.0719560797671967
saei,sylva_prior,40,MAE,0.0567129034842593
saei,sylva_prior,40,MAE,0.0659472557214079
saei,sylva_prior,40,MAE,0.0683441854792332
saei,sylva_prior,40,MAE,0.0747214649482254
saei,sylva_prior,60,MAE,0.0732184675789535
saei,sylva_prior,60,MAE,0.0760838301519296
saei,sylva_prior,60,MAE,0.0787533277452965
saei,sylva_prior,60,MAE,0.0682665045435997
saei,sylva_prior,60,MAE,0.0832442859944132
saei,fri_c4_1000_100,10,MAE,0.0965980468354626
saei,fri_c4_1000_100,10,MAE,0.0984768347410882
saei,fri_c4_1000_100,10,MAE,0.141041488408309
saei,fri_c4_1000_100,10,MAE,0.403100670714308
saei,fri_c4_1000_100,10,MAE,0.135872486885144
saei,fri_c4_1000_100,20,MAE,0.108647764060905
saei,fri_c4_1000_100,20,MAE,0.224638534779689
saei,fri_c4_1000_100,20,MAE,0.264237976762172
saei,fri_c4_1000_100,20,MAE,0.356946587760094
saei,fri_c4_1000_100,20,MAE,0.148003051588157
saei,fri_c4_1000_100,40,MAE,0.121929865621753
saei,fri_c4_1000_100,40,MAE,0.11511531388956
saei,fri_c4_1000_100,40,MAE,0.192685443251568
saei,fri_c4_1000_100,40,MAE,0.150902499282344
saei,fri_c4_1000_100,40,MAE,0.135900319882035
saei,fri_c4_1000_100,60,MAE,0.14201812443663
saei,fri_c4_1000_100,60,MAE,0.120284437237951
saei,fri_c4_1000_100,60,MAE,0.182028023738465
saei,fri_c4_1000_100,60,MAE,0.284795587087094
saei,fri_c4_1000_100,60,MAE,0.235273058439382
pmivae,sylva_prior,10,MAE,0.0535370955027759
pmivae,sylva_prior,10,MAE,0.0494410242093131
pmivae,sylva_prior,10,MAE,0.0624694219464138
pmivae,sylva_prior,10,MAE,0.0683134836805701
pmivae,sylva_prior,10,MAE,0.068311678794294
pmivae,sylva_prior,20,MAE,0.0702125205268744
pmivae,sylva_prior,20,MAE,0.0609836505926172
pmivae,sylva_prior,20,MAE,0.0494825194347881
pmivae,sylva_prior,20,MAE,0.0577751379401742
pmivae,sylva_prior,20,MAE,0.0532680306300882
pmivae,sylva_prior,40,MAE,0.062647085118276
pmivae,sylva_prior,40,MAE,0.0540608227733504
pmivae,sylva_prior,40,MAE,0.0593090465297002
pmivae,sylva_prior,40,MAE,0.0695353802777421
pmivae,sylva_prior,40,MAE,0.0617534650048765
pmivae,sylva_prior,60,MAE,0.0639247087707347
pmivae,sylva_prior,60,MAE,0.0419937112073731
pmivae,sylva_prior,60,MAE,0.083117251791012
pmivae,sylva_prior,60,MAE,0.0530772036208315
pmivae,sylva_prior,60,MAE,0.0615484525298221
pmivae,fri_c4_1000_100,10,MAE,0.565854518989033
pmivae,fri_c4_1000_100,10,MAE,0.1802509605118
pmivae,fri_c4_1000_100,10,MAE,0.141129409603112
pmivae,fri_c4_1000_100,10,MAE,0.247803424448967
pmivae,fri_c4_1000_100,10,MAE,0.12041503804281
pmivae,fri_c4_1000_100,20,MAE,0.0880525084349626
pmivae,fri_c4_1000_100,20,MAE,0.0943102786756842
pmivae,fri_c4_1000_100,20,MAE,0.303494337600344
pmivae,fri_c4_1000_100,20,MAE,0.149996329847882
pmivae,fri_c4_1000_100,20,MAE,0.11936204980366
pmivae,fri_c4_1000_100,40,MAE,0.103111415998282
pmivae,fri_c4_1000_100,40,MAE,0.101939114174271
pmivae,fri_c4_1000_100,40,MAE,0.194391566062805
pmivae,fri_c4_1000_100,40,MAE,0.234842726779994
pmivae,fri_c4_1000_100,40,MAE,0.168121343218417
pmivae,fri_c4_1000_100,60,MAE,0.19686034054142
pmivae,fri_c4_1000_100,60,MAE,0.290942775860841
pmivae,fri_c4_1000_100,60,MAE,0.207767045660561
pmivae,fri_c4_1000_100,60,MAE,0.183220756768506
pmivae,fri_c4_1000_100,60,MAE,0.437966394317844
lpr0,sylva_prior,10,MAE,0.0588603730049634
lpr0,sylva_prior,10,MAE,0.0667509800650266
lpr0,sylva_prior,10,MAE,0.067240174934234
lpr0,sylva_prior,10,MAE,0.0706898365571592
lpr0,sylva_prior,10,MAE,0.0790365431609055
lpr0,sylva_prior,20,MAE,0.0719851832261154
lpr0,sylva_prior,20,MAE,0.0752258044485907
lpr0,sylva_prior,20,MAE,0.0691589445251549
lpr0,sylva_prior,20,MAE,0.062951210595354
lpr0,sylva_prior,20,MAE,0.0666259575428495
lpr0,sylva_prior,40,MAE,0.061821106645203
lpr0,sylva_prior,40,MAE,0.0844159819392242
lpr0,sylva_prior,40,MAE,0.0829641686338004
lpr0,sylva_prior,40,MAE,0.0770805632778337
lpr0,sylva_prior,40,MAE,0.0723049230466484
lpr0,sylva_prior,60,MAE,0.0810988192485924
lpr0,sylva_prior,60,MAE,0.0614506447952749
lpr0,sylva_prior,60,MAE,0.0689940957462879
lpr0,sylva_prior,60,MAE,0.076196501303967
lpr0,sylva_prior,60,MAE,0.0719647861265862
lpr0,fri_c4_1000_100,10,MAE,1.05416996514468
lpr0,fri_c4_1000_100,10,MAE,0.299050493488465
lpr0,fri_c4_1000_100,10,MAE,0.111550207790724
lpr0,fri_c4_1000_100,10,MAE,0.748461233642077
lpr0,fri_c4_1000_100,10,MAE,0.0991545714286793
lpr0,fri_c4_1000_100,20,MAE,0.0931242923850406
lpr0,fri_c4_1000_100,20,MAE,0.0970608498638931
lpr0,fri_c4_1000_100,20,MAE,0.128411421641221
lpr0,fri_c4_1000_100,20,MAE,0.314299698889945
lpr0,fri_c4_1000_100,20,MAE,0.144063236520762
lpr0,fri_c4_1000_100,40,MAE,0.0985134104463573
lpr0,fri_c4_1000_100,40,MAE,0.224128487066174
lpr0,fri_c4_1000_100,40,MAE,0.29951543463541
lpr0,fri_c4_1000_100,40,MAE,0.25756146067787
