,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr1,sylva_prior,10,0.0798,0.0007
1,lpr1,sylva_prior,20,0.0799,0.0007
2,lpr1,sylva_prior,40,0.0837,0.0004
3,lpr1,sylva_prior,60,0.0937,0.0005
4,lpr1,fri_c4_1000_100,10,0.5916,0.4557
5,lpr1,fri_c4_1000_100,20,0.4017,0.1648
6,lpr1,fri_c4_1000_100,40,0.3201,0.1134
7,lpr1,fri_c4_1000_100,60,0.2727,0.0838
