,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,pmivae,sylva_prior,10,0.0582,0.0011
1,pmivae,sylva_prior,20,0.0612,0.0004
2,pmivae,sylva_prior,40,0.0748,0.0005
3,pmivae,sylva_prior,60,0.0745,0.0006
4,pmivae,fri_c4_1000_100,10,0.5792,0.3912
5,pmivae,fri_c4_1000_100,20,0.3556,0.1791
6,pmivae,fri_c4_1000_100,40,0.3099,0.1133
7,pmivae,fri_c4_1000_100,60,0.2742,0.0788
