,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mice,sylva_prior,10,0.0499,0.0005
1,mice,sylva_prior,20,0.0591,0.0009
2,mice,sylva_prior,40,0.0732,0.001
3,mice,sylva_prior,60,0.0866,0.0015
4,mice,fri_c4_1000_100,10,0.5902,0.341
5,mice,fri_c4_1000_100,20,0.3819,0.1841
6,mice,fri_c4_1000_100,40,0.5781,0.1523
7,mice,fri_c4_1000_100,60,0.5699,0.1221
